report_date,market,category,long,short,oi
2026-07-07,GOLD - COMMODITY EXCHANGE INC.,Managed Money,210345,45210,512880
2026-07-14,GOLD - COMMODITY EXCHANGE INC.,Managed Money,215001,43890,515120
2026-07-21,GOLD - COMMODITY EXCHANGE INC.,Managed Money,208877,47890,511340
2026-07-28,GOLD - COMMODITY EXCHANGE INC.,Managed Money,203110,52340,509200
2026-08-04,GOLD - COMMODITY EXCHANGE INC.,Managed Money,199845,57920,507660
2026-08-11,GOLD - COMMODITY EXCHANGE INC.,Managed Money,196300,61200,504130
2026-08-18,GOLD - COMMODITY EXCHANGE INC.,Managed Money,198210,59480,506010
2026-08-25,GOLD - COMMODITY EXCHANGE INC.,Managed Money,201770,55120,508890
2026-09-01,GOLD - COMMODITY EXCHANGE INC.,Managed Money,205440,51050,510220
2026-09-08,GOLD - COMMODITY EXCHANGE INC.,Managed Money,207800,48610,511950
2026-09-15,GOLD - COMMODITY EXCHANGE INC.,Managed Money,210120,46980,513410
