log_file,line_num,timestamp_utc,symbol,equity,intended_risk_usd,stop_dist,tick_size,tick_value,loss_per_lot,min_lot,min_lot_loss_usd,actual_risk_pct,risk_distortion,req_margin_1_500,req_margin_1_2000,rejection_reason,is_executable_500,is_executable_2000,is_risk_compliant
20260917.log,36,2026-09-17 (MT5 Log),XAUUSD,4.02,0.02,0.5,0.001,0.1,50.0,0.01,0.5,12.437810945273634,25.0,8.695994,2.1739985,MIN_LOT_EXCEEDS_RISK,False,True,False
20260917.log,38,2026-09-17 (MT5 Log),XAUUSD,4.02,0.02,1.0,0.001,0.1,100.0,0.01,1.0,24.87562189054727,50.0,8.695994,2.1739985,MIN_LOT_EXCEEDS_RISK,False,True,False
20260917.log,40,2026-09-17 (MT5 Log),XAUUSD,4.02,0.02,1.5,0.001,0.1,150.0,0.01,1.5,37.3134328358209,75.0,8.695994,2.1739985,MIN_LOT_EXCEEDS_RISK,False,True,False
20260917.log,42,2026-09-17 (MT5 Log),XAUUSD,4.02,0.02,2.0,0.001,0.1,200.0,0.01,2.0,49.75124378109454,100.0,8.695994,2.1739985,MIN_LOT_EXCEEDS_RISK,False,True,False
20260917.log,44,2026-09-17 (MT5 Log),XAUUSD,4.02,0.02,2.5,0.001,0.1,250.0,0.01,2.5,62.18905472636816,125.0,8.695994,2.1739985,MIN_LOT_EXCEEDS_RISK,False,True,False
20260917.log,46,2026-09-17 (MT5 Log),XAUUSD,4.02,0.02,3.0,0.001,0.1,300.0,0.01,3.0,74.6268656716418,150.0,8.695994,2.1739985,MIN_LOT_EXCEEDS_RISK,False,True,False
20260917.log,48,2026-09-17 (MT5 Log),XAUUSD,4.02,0.02,5.0,0.001,0.1,500.0,0.01,5.0,124.37810945273633,250.0,8.695994,2.1739985,MIN_LOT_EXCEEDS_RISK,False,True,False
20260917.log,106,2026-09-17 (MT5 Log),XAUUSD,500.0,2.5,3.0,0.001,0.1,300.0,0.01,3.0,0.6,1.2,8.695994,2.1739985,MIN_LOT_EXCEEDS_RISK,True,True,False
20260917.log,108,2026-09-17 (MT5 Log),XAUUSD,500.0,2.5,5.0,0.001,0.1,500.0,0.01,5.0,1.0,2.0,8.695994,2.1739985,MIN_LOT_EXCEEDS_RISK,True,True,False
20260917.log,122,2026-09-17 (MT5 Log),XAUUSD,500.0,2.5,3.0,0.001,0.1,300.0,0.01,3.0,0.6,1.2,8.695994,2.1739985,MIN_LOT_EXCEEDS_RISK,True,True,False
20260917.log,124,2026-09-17 (MT5 Log),XAUUSD,500.0,2.5,5.0,0.001,0.1,500.0,0.01,5.0,1.0,2.0,8.695994,2.1739985,MIN_LOT_EXCEEDS_RISK,True,True,False
20260917.log,138,2026-09-17 (MT5 Log),XAUUSD,500.0,2.5,3.0,0.001,0.1,300.0,0.01,3.0,0.6,1.2,8.695994,2.1739985,MIN_LOT_EXCEEDS_RISK,True,True,False
20260917.log,140,2026-09-17 (MT5 Log),XAUUSD,500.0,2.5,5.0,0.001,0.1,500.0,0.01,5.0,1.0,2.0,8.695994,2.1739985,MIN_LOT_EXCEEDS_RISK,True,True,False
20260917.log,154,2026-09-17 (MT5 Log),XAUUSD,500.0,2.5,3.0,0.001,0.1,300.0,0.01,3.0,0.6,1.2,8.695994,2.1739985,MIN_LOT_EXCEEDS_RISK,True,True,False
20260917.log,156,2026-09-17 (MT5 Log),XAUUSD,500.0,2.5,5.0,0.001,0.1,500.0,0.01,5.0,1.0,2.0,8.695994,2.1739985,MIN_LOT_EXCEEDS_RISK,True,True,False
20260917.log,168,2026-09-17 (MT5 Log),XAUUSD,500.0,2.5,3.0,0.001,0.1,300.0,0.01,3.0,0.6,1.2,8.695994,2.1739985,MIN_LOT_EXCEEDS_RISK,True,True,False
20260917.log,170,2026-09-17 (MT5 Log),XAUUSD,500.0,2.5,5.0,0.001,0.1,500.0,0.01,5.0,1.0,2.0,8.695994,2.1739985,MIN_LOT_EXCEEDS_RISK,True,True,False
20260917.log,210,2026-09-17 (MT5 Log),XAUUSD,500.0,2.5,3.0,0.001,0.1,300.0,0.01,3.0,0.6,1.2,8.695994,2.1739985,MIN_LOT_EXCEEDS_RISK,True,True,False
20260917.log,212,2026-09-17 (MT5 Log),XAUUSD,500.0,2.5,5.0,0.001,0.1,500.0,0.01,5.0,1.0,2.0,8.695994,2.1739985,MIN_LOT_EXCEEDS_RISK,True,True,False
20260917.log,226,2026-09-17 (MT5 Log),XAUUSD,500.0,2.5,3.0,0.001,0.1,300.0,0.01,3.0,0.6,1.2,8.695994,2.1739985,MIN_LOT_EXCEEDS_RISK,True,True,False
20260917.log,228,2026-09-17 (MT5 Log),XAUUSD,500.0,2.5,5.0,0.001,0.1,500.0,0.01,5.0,1.0,2.0,8.695994,2.1739985,MIN_LOT_EXCEEDS_RISK,True,True,False
20260917.log,240,2026-09-17 (MT5 Log),XAUUSD,500.0,2.5,14.061,0.001,0.1,1406.1,0.01,14.06,2.8120000000000003,5.6240000000000006,8.695994,2.1739985,MIN_LOT_EXCEEDS_RISK,True,True,False
20260917.log,244,2026-09-17 (MT5 Log),XAUUSD,500.0,2.5,14.094,0.001,0.1,1409.4,0.01,14.09,2.818,5.636,8.695994,2.1739985,MIN_LOT_EXCEEDS_RISK,True,True,False
20260917.log,248,2026-09-17 (MT5 Log),XAUUSD,500.0,2.5,13.504,0.001,0.1,1350.4,0.01,13.5,2.7,5.4,8.695994,2.1739985,MIN_LOT_EXCEEDS_RISK,True,True,False
20260917.log,252,2026-09-17 (MT5 Log),XAUUSD,500.0,2.5,12.649,0.001,0.1,1264.9,0.01,12.65,2.53,5.0600000000000005,8.695994,2.1739985,MIN_LOT_EXCEEDS_RISK,True,True,False
20260917.log,256,2026-09-17 (MT5 Log),XAUUSD,500.0,2.5,12.315,0.001,0.1,1231.5,0.01,12.31,2.4619999999999997,4.924,8.695994,2.1739985,MIN_LOT_EXCEEDS_RISK,True,True,False
20260917.log,260,2026-09-17 (MT5 Log),XAUUSD,500.0,2.5,11.463,0.001,0.1,1146.3,0.01,11.46,2.2920000000000003,4.5840000000000005,8.695994,2.1739985,MIN_LOT_EXCEEDS_RISK,True,True,False
20260917.log,264,2026-09-17 (MT5 Log),XAUUSD,500.0,2.5,11.512,0.001,0.1,1151.2,0.01,11.51,2.302,4.604,8.695994,2.1739985,MIN_LOT_EXCEEDS_RISK,True,True,False
