AccountSize,RiskPct,Status,P1Trades,P1Days,P2Trades,P2Days,WorstDailyLossDollars,WorstDailyLossPct,DailyLimitPct,DailyBufferPct
5000.0,0.1,PASS,196,32,22,1,153.39999999999998,3.0679999999999996,5.0,38.64000000000001
5000.0,0.2,PASS,195,32,22,1,153.39999999999998,3.0679999999999996,5.0,38.64000000000001
5000.0,0.25,PASS,118,22,96,11,93.68,1.8736000000000002,5.0,62.52799999999999
5000.0,0.3,PASS,196,32,18,1,153.39999999999998,3.0679999999999996,5.0,38.64000000000001
5000.0,0.5,PASS,115,22,84,11,230.88,4.6176,5.0,7.648000000000002
50000.0,0.1,PASS,231,32,75,14,532.3199999999999,1.0646399999999998,5.0,78.7072
50000.0,0.2,PASS,208,32,13,1,1125.88,2.2517600000000004,5.0,54.96479999999999
50000.0,0.25,PASS,197,32,17,1,1438.59,2.8771799999999996,5.0,42.4564
50000.0,0.3,PASS,118,22,92,11,1594.09,3.18818,5.0,36.2364
50000.0,0.5,FAIL_P2,31,6,12,2,1953.63,3.90726,5.0,21.854799999999997
