Balance,TradeCount,ExecutedTrades,RejectedTrades,RejectedMargin,RejectedEquityDepleted,MinLotConstrained,StartingEquity,EndingEquity,NetReturnPct,MaxDDPct,MaxLosingStreak,AvgActualRiskPct,MaxActualRiskPct,MeanRiskDistortion,MarginFailures,FailureType
5,759,0,759,759,0,0,5,5.0,0.0,0.0,0,0.0,0.0,0.0,759,NON-EXECUTABLE (MARGIN)
10,759,0,759,759,0,0,10,10.0,0.0,0.0,0,0.0,0.0,0.0,759,NON-EXECUTABLE (MARGIN)
25,759,0,759,759,0,0,25,25.0,0.0,0.0,0,0.0,0.0,0.0,759,NON-EXECUTABLE (MARGIN)
50,759,1,758,758,0,1,50,37.92,-24.16,24.16,1,24.922,24.922,49.844,758,EXECUTABLE_SEVERE_DISTORTION
100,759,6,753,753,0,6,100,30.29,-69.71,69.71,6,17.6071,28.5862,35.2143,753,EXECUTABLE_SEVERE_DISTORTION
250,759,759,0,0,0,614,250,3820.91,1428.37,18.27,23,1.3042,9.0068,2.6084,0,EXECUTABLE_HIGH_DISTORTION
500,759,759,0,0,0,564,500,4106.79,721.36,17.0,23,0.9339,3.2988,1.8679,0,EXECUTABLE_MODERATE_DISTORTION
1000,759,759,0,0,0,449,1000,4734.89,373.49,15.55,23,0.6536,1.4692,1.3072,0,EXECUTABLE_MODERATE_DISTORTION
1500,759,759,0,0,0,348,1500,5616.66,274.44,13.2,23,0.5212,0.9998,1.0424,0,EXECUTABLE_MINOR_DISTORTION
2000,759,759,0,0,0,203,2000,6819.02,240.95,11.86,23,0.4467,0.7577,0.8934,0,EXECUTABLE_FAITHFUL
2500,759,759,0,0,0,65,2500,8091.52,223.66,11.03,23,0.4126,0.6036,0.8251,0,EXECUTABLE_FAITHFUL
3000,759,759,0,0,0,3,3000,8849.33,194.98,11.29,23,0.3948,0.5177,0.7895,0,EXECUTABLE_FAITHFUL
5000,759,759,0,0,0,0,5000,17124.64,242.49,11.46,23,0.4243,0.4997,0.8485,0,EXECUTABLE_FAITHFUL
