Firm,Model,AccountSize,RiskPct,Phase1Status,Phase1Trades,Phase1Days,WorstDailyLossDollars,WorstDailyLossPct,EAAllowed
FundedNext,Stellar 2-Step,50000,0.1,PASS,232,32,-511.33333333333337,1.0226666666666666,True
FundedNext,Stellar 2-Step,50000,0.2,PASS,212,32,-1022.6666666666667,2.0453333333333332,True
FundedNext,Stellar 2-Step,50000,0.25,PASS,200,32,-1278.3333333333335,2.5566666666666666,True
FundedNext,Stellar 2-Step,50000,0.3,PASS,196,32,-1534.0,3.068,True
FundedNext,Stellar 2-Step,50000,0.5,PASS,115,22,-2190.0000000000005,4.380000000000002,True
FundedNext,Stellar 1-Step,50000,0.1,PASS,249,35,-511.33333333333337,1.0226666666666666,True
FundedNext,Stellar 1-Step,50000,0.2,PASS,216,32,-1022.6666666666667,2.0453333333333332,True
FundedNext,Stellar 1-Step,50000,0.25,PASS,212,32,-1278.3333333333335,2.5566666666666666,True
FundedNext,Stellar 1-Step,50000,0.3,FAIL_BREACH,153,27,-1387.1,2.7742,True
FundedNext,Stellar 1-Step,50000,0.5,FAIL_BREACH,8,1,-1561.3333333333335,3.122666666666667,True
FundedNext,Stellar Lite,50000,0.1,PASS,232,32,-511.33333333333337,1.0226666666666666,True
FundedNext,Stellar Lite,50000,0.2,PASS,212,32,-1022.6666666666667,2.0453333333333332,True
FundedNext,Stellar Lite,50000,0.25,PASS,200,32,-1278.3333333333335,2.5566666666666666,True
FundedNext,Stellar Lite,50000,0.3,PASS,196,32,-1534.0,3.068,True
FundedNext,Stellar Lite,50000,0.5,FAIL_BREACH,42,7,-2077.666666666667,4.155333333333334,True
FundingPips,2-Step Standard,50000,0.1,PASS,232,32,-511.33333333333337,1.0226666666666666,True
FundingPips,2-Step Standard,50000,0.2,PASS,212,32,-1022.6666666666667,2.0453333333333332,True
FundingPips,2-Step Standard,50000,0.25,PASS,200,32,-1278.3333333333335,2.5566666666666666,True
FundingPips,2-Step Standard,50000,0.3,PASS,196,32,-1534.0,3.068,True
FundingPips,2-Step Standard,50000,0.5,PASS,115,22,-2190.0000000000005,4.380000000000002,True
